#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
                6              52               1              HB  0.24078  0.24078  0.24078  0.24078   42006334
                7              52               1              HB  0.22536  0.22536  0.22536  0.22536   420063B4
                8              52               1              HB  0.19110  0.19110  0.19110  0.19110   42006434
                9              52               1              HB  0.17841  0.17841  0.17841  0.17841   420064B4
               10              52               1              HB  0.21268  0.21268  0.21268  0.21268   42006534
               11              52               1              HB  0.18965  0.18965  0.18965  0.18965   420065B4
               12              52               1              HB  0.16031  0.16031  0.16031  0.16031   42006634
               13              52               1              HB  0.16942  0.16942  0.16942  0.16942   420066B4
               14              52               1              HB  0.18064  0.18064  0.18064  0.18064   42006734
               15              52               1              HB  0.14338  0.14338  0.14338  0.14338   420067B4
               15              52               2              HB  0.13036  0.13036  0.13036  0.13036   4200A7B4
               16              52               1              HB  0.14168  0.14168  0.14168  0.14168   42006834
               16              52               2              HB  0.14157  0.14157  0.14157  0.14157   4200A834
                1              53               1              HB  0.23462  0.23462  0.23462  0.23462   420060B5
                2              53               1              HB  0.21736  0.21736  0.21736  0.21736   42006135
                3              53               1              HB  0.22513  0.22513  0.22513  0.22513   420061B5
                4              53               1              HB  0.22734  0.22734  0.22734  0.22734   42006235
                5              53               1              HB  0.20954  0.20954  0.20954  0.20954   420062B5
                6              53               1              HB  0.19919  0.19919  0.19919  0.19919   42006335
                7              53               1              HB  0.20769  0.20769  0.20769  0.20769   420063B5
                8              53               1              HB  0.21315  0.21315  0.21315  0.21315   42006435
                9              53               1              HB  0.19455  0.19455  0.19455  0.19455   420064B5
               10              53               1              HB  0.18721  0.18721  0.18721  0.18721   42006535
               11              53               1              HB  0.19587  0.19587  0.19587  0.19587   420065B5
               12              53               1              HB  0.18433  0.18433  0.18433  0.18433   42006635
               13              53               1              HB  0.18219  0.18219  0.18219  0.18219   420066B5
               14              53               1              HB  0.17028  0.17028  0.17028  0.17028   42006735
               15              53               1              HB  0.16281  0.16281  0.16281  0.16281   420067B5
               15              53               2              HB  0.13740  0.13740  0.13740  0.13740   4200A7B5
               16              53               1              HB  0.14210  0.14210  0.14210  0.14210   42006835
               16              53               2              HB  0.12753  0.12753  0.12753  0.12753   4200A835
                1              54               1              HB  0.22137  0.22137  0.22137  0.22137   420060B6
                2              54               1              HB  0.22962  0.22962  0.22962  0.22962   42006136
                3              54               1              HB  0.24969  0.24969  0.24969  0.24969   420061B6
                4              54               1              HB  0.24030  0.24030  0.24030  0.24030   42006236
                5              54               1              HB  0.22352  0.22352  0.22352  0.22352   420062B6
                6              54               1              HB  0.24057  0.24057  0.24057  0.24057   42006336
                7              54               1              HB  0.23469  0.23469  0.23469  0.23469   420063B6
                8              54               1              HB  0.23435  0.23435  0.23435  0.23435   42006436
                9              54               1              HB  0.25416  0.25416  0.25416  0.25416   420064B6
               10              54               1              HB  0.21699  0.21699  0.21699  0.21699   42006536
               11              54               1              HB  0.20062  0.20062  0.20062  0.20062   420065B6
               12              54               1              HB  0.21108  0.21108  0.21108  0.21108   42006636
               13              54               1              HB  0.21139  0.21139  0.21139  0.21139   420066B6
               14              54               1              HB  0.19148  0.19148  0.19148  0.19148   42006736
               15              54               1              HB  0.15521  0.15521  0.15521  0.15521   420067B6
               15              54               2              HB  0.15174  0.15174  0.15174  0.15174   4200A7B6
               16              54               1              HB  0.17300  0.17300  0.17300  0.17300   42006836
               16              54               2              HB  0.15079  0.15079  0.15079  0.15079   4200A836
                1              55               1              HB  0.24897  0.24897  0.24897  0.24897   420060B7
                2              55               1              HB  0.22873  0.22873  0.22873  0.22873   42006137
                3              55               1              HB  0.23055  0.23055  0.23055  0.23055   420061B7
                4              55               1              HB  0.21000  0.21000  0.21000  0.21000   42006237
                5              55               1              HB  0.20831  0.20831  0.20831  0.20831   420062B7
                6              55               1              HB  0.20371  0.20371  0.20371  0.20371   42006337
                7              55               1              HB  0.19820  0.19820  0.19820  0.19820   420063B7
                8              55               1              HB  0.20842  0.20842  0.20842  0.20842   42006437
                9              55               1              HB  0.20222  0.20222  0.20222  0.20222   420064B7
               10              55               1              HB  0.19120  0.19120  0.19120  0.19120   42006537
               11              55               1              HB  0.19022  0.19022  0.19022  0.19022   420065B7
               12              55               1              HB  0.20794  0.20794  0.20794  0.20794   42006637
               13              55               1              HB  0.18742  0.18742  0.18742  0.18742   420066B7
               14              55               1              HB  0.17088  0.17088  0.17088  0.17088   42006737
               15              55               1              HB  0.14638  0.14638  0.14638  0.14638   420067B7
               15              55               2              HB  0.12458  0.12458  0.12458  0.12458   4200A7B7
               16              55               1              HB  0.15665  0.15665  0.15665  0.15665   42006837
               16              55               2              HB  0.12995  0.12995  0.12995  0.12995   4200A837
                1              56               1              HB  0.24414  0.24414  0.24414  0.24414   420060B8
                2              56               1              HB  0.23523  0.23523  0.23523  0.23523   42006138
                3              56               1              HB  0.22529  0.22529  0.22529  0.22529   420061B8
                4              56               1              HB  0.22804  0.22804  0.22804  0.22804   42006238
                5              56               1              HB  0.20874  0.20874  0.20874  0.20874   420062B8
                6              56               1              HB  0.21983  0.21983  0.21983  0.21983   42006338
                7              56               1              HB  0.20614  0.20614  0.20614  0.20614   420063B8
                8              56               1              HB  0.19140  0.19140  0.19140  0.19140   42006438
                9              56               1              HB  0.19284  0.19284  0.19284  0.19284   420064B8
               10              56               1              HB  0.19833  0.19833  0.19833  0.19833   42006538
               11              56               1              HB  0.18129  0.18129  0.18129  0.18129   420065B8
               12              56               1              HB  0.18470  0.18470  0.18470  0.18470   42006638
               13              56               1              HB  0.17285  0.17285  0.17285  0.17285   420066B8
               14              56               1              HB  0.15700  0.15700  0.15700  0.15700   42006738
               15              56               1              HB  0.14856  0.14856  0.14856  0.14856   420067B8
               15              56               2              HB  0.13229  0.13229  0.13229  0.13229   4200A7B8
               16              56               1              HB  0.13193  0.13193  0.13193  0.13193   42006838
               16              56               2              HB  0.13719  0.13719  0.13719  0.13719   4200A838
                1              57               1              HB  0.23193  0.23193  0.23193  0.23193   420060B9
                2              57               1              HB  0.21371  0.21371  0.21371  0.21371   42006139
                3              57               1              HB  0.21818  0.21818  0.21818  0.21818   420061B9
                4              57               1              HB  0.20977  0.20977  0.20977  0.20977   42006239
                5              57               1              HB  0.19956  0.19956  0.19956  0.19956   420062B9
                6              57               1              HB  0.19756  0.19756  0.19756  0.19756   42006339
                7              57               1              HB  0.19175  0.19175  0.19175  0.19175   420063B9
                8              57               1              HB  0.20256  0.20256  0.20256  0.20256   42006439
                9              57               1              HB  0.19044  0.19044  0.19044  0.19044   420064B9
               10              57               1              HB  0.18665  0.18665  0.18665  0.18665   42006539
               11              57               1              HB  0.18153  0.18153  0.18153  0.18153   420065B9
               12              57               1              HB  0.18879  0.18879  0.18879  0.18879   42006639
               13              57               1              HB  0.16992  0.16992  0.16992  0.16992   420066B9
               14              57               1              HB  0.16502  0.16502  0.16502  0.16502   42006739
               15              57               1              HB  0.13925  0.13925  0.13925  0.13925   420067B9
               15              57               2              HB  0.13244  0.13244  0.13244  0.13244   4200A7B9
               16              57               1              HB  0.13970  0.13970  0.13970  0.13970   42006839
               16              57               2              HB  0.12757  0.12757  0.12757  0.12757   4200A839
                1              58               1              HB  0.22406  0.22406  0.22406  0.22406   420060BA
                2              58               1              HB  0.21519  0.21519  0.21519  0.21519   4200613A
                3              58               1              HB  0.21510  0.21510  0.21510  0.21510   420061BA
                4              58               1              HB  0.20860  0.20860  0.20860  0.20860   4200623A
                5              58               1              HB  0.19476  0.19476  0.19476  0.19476   420062BA
                6              58               1              HB  0.19147  0.19147  0.19147  0.19147   4200633A
                7              58               1              HB  0.18955  0.18955  0.18955  0.18955   420063BA
                8              58               1              HB  0.19175  0.19175  0.19175  0.19175   4200643A
                9              58               1              HB  0.17424  0.17424  0.17424  0.17424   420064BA
               10              58               1              HB  0.17656  0.17656  0.17656  0.17656   4200653A
               11              58               1              HB  0.17378  0.17378  0.17378  0.17378   420065BA
               12              58               1              HB  0.16563  0.16563  0.16563  0.16563   4200663A
               13              58               1              HB  0.17160  0.17160  0.17160  0.17160   420066BA
               14              58               1              HB  0.15899  0.15899  0.15899  0.15899   4200673A
               15              58               1              HB  0.13994  0.13994  0.13994  0.13994   420067BA
               15              58               2              HB  0.12843  0.12843  0.12843  0.12843   4200A7BA
               16              58               1              HB  0.14890  0.14890  0.14890  0.14890   4200683A
               16              58               2              HB  0.12441  0.12441  0.12441  0.12441   4200A83A
                1              59               1              HB  0.20155  0.20155  0.20155  0.20155   420060BB
                2              59               1              HB  0.19760  0.19760  0.19760  0.19760   4200613B
                3              59               1              HB  0.19815  0.19815  0.19815  0.19815   420061BB
                4              59               1              HB  0.19527  0.19527  0.19527  0.19527   4200623B
                5              59               1              HB  0.19304  0.19304  0.19304  0.19304   420062BB
                6              59               1              HB  0.18783  0.18783  0.18783  0.18783   4200633B
                7              59               1              HB  0.17494  0.17494  0.17494  0.17494   420063BB
                8              59               1              HB  0.18832  0.18832  0.18832  0.18832   4200643B
                9              59               1              HB  0.17893  0.17893  0.17893  0.17893   420064BB
               10              59               1              HB  0.17486  0.17486  0.17486  0.17486   4200653B
               11              59               1              HB  0.16995  0.16995  0.16995  0.16995   420065BB
               12              59               1              HB  0.18060  0.18060  0.18060  0.18060   4200663B
               13              59               1              HB  0.17281  0.17281  0.17281  0.17281   420066BB
               14              59               1              HB  0.15946  0.15946  0.15946  0.15946   4200673B
               15              59               1              HB  0.14726  0.14726  0.14726  0.14726   420067BB
               15              59               2              HB  0.11689  0.11689  0.11689  0.11689   4200A7BB
               16              59               1              HB  0.15316  0.15316  0.15316  0.15316   4200683B
               16              59               2              HB  0.13342  0.13342  0.13342  0.13342   4200A83B
                1              60               1              HB  0.28720  0.28720  0.28720  0.28720   420060BC
                2              60               1              HB  0.27952  0.27952  0.27952  0.27952   4200613C
                3              60               1              HB  0.25132  0.25132  0.25132  0.25132   420061BC
                4              60               1              HB  0.25368  0.25368  0.25368  0.25368   4200623C
                5              60               1              HB  0.23477  0.23477  0.23477  0.23477   420062BC
                6              60               1              HB  0.27036  0.27036  0.27036  0.27036   4200633C
                7              60               1              HB  0.23994  0.23994  0.23994  0.23994   420063BC
                8              60               1              HB  0.21947  0.21947  0.21947  0.21947   4200643C
                9              60               1              HB  0.24016  0.24016  0.24016  0.24016   420064BC
               10              60               1              HB  0.25720  0.25720  0.25720  0.25720   4200653C
               11              60               1              HB  0.21829  0.21829  0.21829  0.21829   420065BC
               12              60               1              HB  0.20010  0.20010  0.20010  0.20010   4200663C
               13              60               1              HB  0.20497  0.20497  0.20497  0.20497   420066BC
               14              60               1              HB  0.20964  0.20964  0.20964  0.20964   4200673C
               15              60               1              HB  0.16897  0.16897  0.16897  0.16897   420067BC
               15              60               2              HB  0.15609  0.15609  0.15609  0.15609   4200A7BC
               16              60               1              HB  0.17583  0.17583  0.17583  0.17583   4200683C
               16              60               2              HB  0.16285  0.16285  0.16285  0.16285   4200A83C
                1              61               1              HB  0.22831  0.22831  0.22831  0.22831   420060BD
                2              61               1              HB  0.22168  0.22168  0.22168  0.22168   4200613D
                3              61               1              HB  0.21926  0.21926  0.21926  0.21926   420061BD
                4              61               1              HB  0.21440  0.21440  0.21440  0.21440   4200623D
                5              61               1              HB  0.21362  0.21362  0.21362  0.21362   420062BD
                6              61               1              HB  0.20496  0.20496  0.20496  0.20496   4200633D
                7              61               1              HB  0.19603  0.19603  0.19603  0.19603   420063BD
                8              61               1              HB  0.19554  0.19554  0.19554  0.19554   4200643D
                9              61               1              HB  0.20488  0.20488  0.20488  0.20488   420064BD
               10              61               1              HB  0.18816  0.18816  0.18816  0.18816   4200653D
               11              61               1              HB  0.18894  0.18894  0.18894  0.18894   420065BD
               12              61               1              HB  0.19576  0.19576  0.19576  0.19576   4200663D
               13              61               1              HB  0.19425  0.19425  0.19425  0.19425   420066BD
               14              61               1              HB  0.16934  0.16934  0.16934  0.16934   4200673D
               15              61               1              HB  0.15821  0.15821  0.15821  0.15821   420067BD
               15              61               2              HB  0.14148  0.14148  0.14148  0.14148   4200A7BD
               16              61               1              HB  0.14103  0.14103  0.14103  0.14103   4200683D
               16              61               2              HB  0.13456  0.13456  0.13456  0.13456   4200A83D
                1              62               1              HB  0.30715  0.30715  0.30715  0.30715   420060BE
                2              62               1              HB  0.28158  0.28158  0.28158  0.28158   4200613E
                3              62               1              HB  0.29713  0.29713  0.29713  0.29713   420061BE
                4              62               1              HB  0.28378  0.28378  0.28378  0.28378   4200623E
                5              62               1              HB  0.23608  0.23608  0.23608  0.23608   420062BE
                6              62               1              HB  0.23805  0.23805  0.23805  0.23805   4200633E
                7              62               1              HB  0.29165  0.29165  0.29165  0.29165   420063BE
                8              62               1              HB  0.27153  0.27153  0.27153  0.27153   4200643E
                9              62               1              HB  0.22867  0.22867  0.22867  0.22867   420064BE
               10              62               1              HB  0.22601  0.22601  0.22601  0.22601   4200653E
               11              62               1              HB  0.27832  0.27832  0.27832  0.27832   420065BE
               12              62               1              HB  0.24302  0.24302  0.24302  0.24302   4200663E
               13              62               1              HB  0.21804  0.21804  0.21804  0.21804   420066BE
               14              62               1              HB  0.21326  0.21326  0.21326  0.21326   4200673E
               15              62               1              HB  0.15942  0.15942  0.15942  0.15942   420067BE
               15              62               2              HB  0.13249  0.13249  0.13249  0.13249   4200A7BE
               16              62               1              HB  0.16783  0.16783  0.16783  0.16783   4200683E
               16              62               2              HB  0.13424  0.13424  0.13424  0.13424   4200A83E
                1              63               1              HB  0.26223  0.26223  0.26223  0.26223   420060BF
                2              63               1              HB  0.23466  0.23466  0.23466  0.23466   4200613F
                3              63               1              HB  0.24758  0.24758  0.24758  0.24758   420061BF
                4              63               1              HB  0.23200  0.23200  0.23200  0.23200   4200623F
                5              63               1              HB  0.21272  0.21272  0.21272  0.21272   420062BF
                6              63               1              HB  0.21981  0.21981  0.21981  0.21981   4200633F
                7              63               1              HB  0.22562  0.22562  0.22562  0.22562   420063BF
                8              63               1              HB  0.21638  0.21638  0.21638  0.21638   4200643F
                9              63               1              HB  0.19075  0.19075  0.19075  0.19075   420064BF
               10              63               1              HB  0.20098  0.20098  0.20098  0.20098   4200653F
               11              63               1              HB  0.20864  0.20864  0.20864  0.20864   420065BF
               12              63               1              HB  0.19609  0.19609  0.19609  0.19609   4200663F
               13              63               1              HB  0.17894  0.17894  0.17894  0.17894   420066BF
               14              63               1              HB  0.17440  0.17440  0.17440  0.17440   4200673F
               15              63               1              HB  0.15886  0.15886  0.15886  0.15886   420067BF
               15              63               2              HB  0.11765  0.11765  0.11765  0.11765   4200A7BF
               16              63               1              HB  0.19592  0.19592  0.19592  0.19592   4200683F
               16              63               2              HB  0.14868  0.14868  0.14868  0.14868   4200A83F
                1              64               1              HB  0.27519  0.27519  0.27519  0.27519   420060C0
                2              64               1              HB  0.26697  0.26697  0.26697  0.26697   42006140
                3              64               1              HB  0.24114  0.24114  0.24114  0.24114   420061C0
                4              64               1              HB  0.24942  0.24942  0.24942  0.24942   42006240
                5              64               1              HB  0.27195  0.27195  0.27195  0.27195   420062C0
                6              64               1              HB  0.27207  0.27207  0.27207  0.27207   42006340
                7              64               1              HB  0.22981  0.22981  0.22981  0.22981   420063C0
                8              64               1              HB  0.22118  0.22118  0.22118  0.22118   42006440
                9              64               1              HB  0.25164  0.25164  0.25164  0.25164   420064C0
               10              64               1              HB  0.22944  0.22944  0.22944  0.22944   42006540
               11              64               1              HB  0.19910  0.19910  0.19910  0.19910   420065C0
               12              64               1              HB  0.20340  0.20340  0.20340  0.20340   42006640
               13              64               1              HB  0.20053  0.20053  0.20053  0.20053   420066C0
               14              64               1              HB  0.19335  0.19335  0.19335  0.19335   42006740
               15              64               1              HB  0.15280  0.15280  0.15280  0.15280   420067C0
               15              64               2              HB  0.16216  0.16216  0.16216  0.16216   4200A7C0
               16              64               1              HB  0.17832  0.17832  0.17832  0.17832   42006840
               16              64               2              HB  0.14858  0.14858  0.14858  0.14858   4200A840
                1              65               1              HB  0.22309  0.22309  0.22309  0.22309   420060C1
                2              65               1              HB  0.21107  0.21107  0.21107  0.21107   42006141
                3              65               1              HB  0.20753  0.20753  0.20753  0.20753   420061C1
                4              65               1              HB  0.19963  0.19963  0.19963  0.19963   42006241
                5              65               1              HB  0.20649  0.20649  0.20649  0.20649   420062C1
                6              65               1              HB  0.20813  0.20813  0.20813  0.20813   42006341
                7              65               1              HB  0.19521  0.19521  0.19521  0.19521   420063C1
                8              65               1              HB  0.19976  0.19976  0.19976  0.19976   42006441
                9              65               1              HB  0.18549  0.18549  0.18549  0.18549   420064C1
               10              65               1              HB  0.17961  0.17961  0.17961  0.17961   42006541
               11              65               1              HB  0.18659  0.18659  0.18659  0.18659   420065C1
               12              65               1              HB  0.18690  0.18690  0.18690  0.18690   42006641
               13              65               1              HB  0.17845  0.17845  0.17845  0.17845   420066C1
               14              65               1              HB  0.16533  0.16533  0.16533  0.16533   42006741
               15              65               1              HB  0.15226  0.15226  0.15226  0.15226   420067C1
               15              65               2              HB  0.12909  0.12909  0.12909  0.12909   4200A7C1
               16              65               1              HB  0.14106  0.14106  0.14106  0.14106   42006841
               16              65               2              HB  0.13579  0.13579  0.13579  0.13579   4200A841
                1              66               1              HB  0.25501  0.25501  0.25501  0.25501   420060C2
                2              66               1              HB  0.23545  0.23545  0.23545  0.23545   42006142
                3              66               1              HB  0.24318  0.24318  0.24318  0.24318   420061C2
                4              66               1              HB  0.22994  0.22994  0.22994  0.22994   42006242
                5              66               1              HB  0.21196  0.21196  0.21196  0.21196   420062C2
                6              66               1              HB  0.20444  0.20444  0.20444  0.20444   42006342
                7              66               1              HB  0.21483  0.21483  0.21483  0.21483   420063C2
                8              66               1              HB  0.22730  0.22730  0.22730  0.22730   42006442
                9              66               1              HB  0.21167  0.21167  0.21167  0.21167   420064C2
               10              66               1              HB  0.19193  0.19193  0.19193  0.19193   42006542
               11              66               1              HB  0.18211  0.18211  0.18211  0.18211   420065C2
               12              66               1              HB  0.21707  0.21707  0.21707  0.21707   42006642
               13              66               1              HB  0.17491  0.17491  0.17491  0.17491   420066C2
               14              66               1              HB  0.16972  0.16972  0.16972  0.16972   42006742
               15              66               1              HB  0.17771  0.17771  0.17771  0.17771   420067C2
               15              66               2              HB  0.13630  0.13630  0.13630  0.13630   4200A7C2
               16              66               1              HB  0.17353  0.17353  0.17353  0.17353   42006842
               16              66               2              HB  0.14167  0.14167  0.14167  0.14167   4200A842
                1              67               1              HB  0.22292  0.22292  0.22292  0.22292   420060C3
                2              67               1              HB  0.21354  0.21354  0.21354  0.21354   42006143
                3              67               1              HB  0.20488  0.20488  0.20488  0.20488   420061C3
                4              67               1              HB  0.21538  0.21538  0.21538  0.21538   42006243
                5              67               1              HB  0.20735  0.20735  0.20735  0.20735   420062C3
                6              67               1              HB  0.20436  0.20436  0.20436  0.20436   42006343
                7              67               1              HB  0.20810  0.20810  0.20810  0.20810   420063C3
                8              67               1              HB  0.20047  0.20047  0.20047  0.20047   42006443
                9              67               1              HB  0.18511  0.18511  0.18511  0.18511   420064C3
               10              67               1              HB  0.18965  0.18965  0.18965  0.18965   42006543
               11              67               1              HB  0.18644  0.18644  0.18644  0.18644   420065C3
               12              67               1              HB  0.17819  0.17819  0.17819  0.17819   42006643
               13              67               1              HB  0.16036  0.16036  0.16036  0.16036   420066C3
               14              67               1              HB  0.15653  0.15653  0.15653  0.15653   42006743
               15              67               1              HB  0.15453  0.15453  0.15453  0.15453   420067C3
               15              67               2              HB  0.12589  0.12589  0.12589  0.12589   4200A7C3
               16              67               1              HB  0.16485  0.16485  0.16485  0.16485   42006843
               16              67               2              HB  0.14775  0.14775  0.14775  0.14775   4200A843
                1              68               1              HB  0.24109  0.24109  0.24109  0.24109   420060C4
                2              68               1              HB  0.22817  0.22817  0.22817  0.22817   42006144
                3              68               1              HB  0.22003  0.22003  0.22003  0.22003   420061C4
                4              68               1              HB  0.22137  0.22137  0.22137  0.22137   42006244
                5              68               1              HB  0.21272  0.21272  0.21272  0.21272   420062C4
                6              68               1              HB  0.21447  0.21447  0.21447  0.21447   42006344
                7              68               1              HB  0.20269  0.20269  0.20269  0.20269   420063C4
                8              68               1              HB  0.19120  0.19120  0.19120  0.19120   42006444
                9              68               1              HB  0.15866  0.15866  0.15866  0.15866   420064C4
               10              68               1              HB  0.18311  0.18311  0.18311  0.18311   42006544
               11              68               1              HB  0.17571  0.17571  0.17571  0.17571   420065C4
               12              68               1              HB  0.16613  0.16613  0.16613  0.16613   42006644
               13              68               1              HB  0.15089  0.15089  0.15089  0.15089   420066C4
               14              68               1              HB  0.14894  0.14894  0.14894  0.14894   42006744
               15              68               1              HB  0.12086  0.12086  0.12086  0.12086   420067C4
               15              68               2              HB  0.11857  0.11857  0.11857  0.11857   4200A7C4
               16              68               1              HB  0.12126  0.12126  0.12126  0.12126   42006844
               16              68               2              HB  0.14499  0.14499  0.14499  0.14499   4200A844
                1              69               1              HB  0.27530  0.27530  0.27530  0.27530   420060C5
                2              69               1              HB  0.25915  0.25915  0.25915  0.25915   42006145
                3              69               1              HB  0.23691  0.23691  0.23691  0.23691   420061C5
                4              69               1              HB  0.24060  0.24060  0.24060  0.24060   42006245
                5              69               1              HB  0.24353  0.24353  0.24353  0.24353   420062C5
                6              69               1              HB  0.25066  0.25066  0.25066  0.25066   42006345
                7              69               1              HB  0.20794  0.20794  0.20794  0.20794   420063C5
                8              69               1              HB  0.21434  0.21434  0.21434  0.21434   42006445
                9              69               1              HB  0.21095  0.21095  0.21095  0.21095   420064C5
               10              69               1              HB  0.20015  0.20015  0.20015  0.20015   42006545
               11              69               1              HB  0.19793  0.19793  0.19793  0.19793   420065C5
               12              69               1              HB  0.19426  0.19426  0.19426  0.19426   42006645
               13              69               1              HB  0.18616  0.18616  0.18616  0.18616   420066C5
               14              69               1              HB  0.18243  0.18243  0.18243  0.18243   42006745
               15              69               1              HB  0.16233  0.16233  0.16233  0.16233   420067C5
               15              69               2              HB  0.16202  0.16202  0.16202  0.16202   4200A7C5
               16              69               1              HB  0.18117  0.18117  0.18117  0.18117   42006845
               16              69               2              HB  0.16569  0.16569  0.16569  0.16569   4200A845
                1              70               1              HB  0.26037  0.26037  0.26037  0.26037   420060C6
                2              70               1              HB  0.20524  0.20524  0.20524  0.20524   42006146
                3              70               1              HB  0.16487  0.16487  0.16487  0.16487   420061C6
                4              70               1              HB  0.26383  0.26383  0.26383  0.26383   42006246
                5              70               1              HB  0.20658  0.20658  0.20658  0.20658   420062C6
                6              70               1              HB  0.16214  0.16214  0.16214  0.16214   42006346
                7              70               1              HB  0.15582  0.15582  0.15582  0.15582   420063C6
                8              70               1              HB  0.24250  0.24250  0.24250  0.24250   42006446
                9              70               1              HB  0.21388  0.21388  0.21388  0.21388   420064C6
               10              70               1              HB  0.14792  0.14792  0.14792  0.14792   42006546
               11              70               1              HB  0.14295  0.14295  0.14295  0.14295   420065C6
               12              70               1              HB  0.18657  0.18657  0.18657  0.18657   42006646
               13              70               1              HB  0.15340  0.15340  0.15340  0.15340   420066C6
               14              70               1              HB  0.15713  0.15713  0.15713  0.15713   42006746
               15              70               1              HB  0.13998  0.13998  0.13998  0.13998   420067C6
               15              70               2              HB  0.13396  0.13396  0.13396  0.13396   4200A7C6
               16              70               1              HB  0.13651  0.13651  0.13651  0.13651   42006846
               16              70               2              HB  0.13039  0.13039  0.13039  0.13039   4200A846
                1              71               1              HB  0.27380  0.27380  0.27380  0.27380   420060C7
                2              71               1              HB  0.24835  0.24835  0.24835  0.24835   42006147
                3              71               1              HB  0.23929  0.23929  0.23929  0.23929   420061C7
                4              71               1              HB  0.23931  0.23931  0.23931  0.23931   42006247
                5              71               1              HB  0.23777  0.23777  0.23777  0.23777   420062C7
                6              71               1              HB  0.21456  0.21456  0.21456  0.21456   42006347
                7              71               1              HB  0.21016  0.21016  0.21016  0.21016   420063C7
                8              71               1              HB  0.23061  0.23061  0.23061  0.23061   42006447
                9              71               1              HB  0.21066  0.21066  0.21066  0.21066   420064C7
               10              71               1              HB  0.19658  0.19658  0.19658  0.19658   42006547
               11              71               1              HB  0.19669  0.19669  0.19669  0.19669   420065C7
               12              71               1              HB  0.20575  0.20575  0.20575  0.20575   42006647
               13              71               1              HB  0.18275  0.18275  0.18275  0.18275   420066C7
               14              71               1              HB  0.16888  0.16888  0.16888  0.16888   42006747
               15              71               1              HB  0.15924  0.15924  0.15924  0.15924   420067C7
               15              71               2              HB  0.12797  0.12797  0.12797  0.12797   4200A7C7
               16              71               1              HB  0.19693  0.19693  0.19693  0.19693   42006847
               16              71               2              HB  0.14631  0.14631  0.14631  0.14631   4200A847
                1              72               1              HB  0.27129  0.27129  0.27129  0.27129   420060C8
                2              72               1              HB  0.23032  0.23032  0.23032  0.23032   42006148
                3              72               1              HB  0.23068  0.23068  0.23068  0.23068   420061C8
                4              72               1              HB  0.25769  0.25769  0.25769  0.25769   42006248
                5              72               1              HB  0.26785  0.26785  0.26785  0.26785   420062C8
                6              72               1              HB  0.22969  0.22969  0.22969  0.22969   42006348
                7              72               1              HB  0.20677  0.20677  0.20677  0.20677   420063C8
                8              72               1              HB  0.23024  0.23024  0.23024  0.23024   42006448
                9              72               1              HB  0.25264  0.25264  0.25264  0.25264   420064C8
               10              72               1              HB  0.18941  0.18941  0.18941  0.18941   42006548
               11              72               1              HB  0.18481  0.18481  0.18481  0.18481   420065C8
               12              72               1              HB  0.18054  0.18054  0.18054  0.18054   42006648
               13              72               1              HB  0.15857  0.15857  0.15857  0.15857   420066C8
               14              72               1              HB  0.14476  0.14476  0.14476  0.14476   42006748
               15              72               1              HB  0.13314  0.13314  0.13314  0.13314   420067C8
               15              72               2              HB  0.14233  0.14233  0.14233  0.14233   4200A7C8
               16              72               1              HB  0.16722  0.16722  0.16722  0.16722   42006848
               16              72               2              HB  0.14643  0.14643  0.14643  0.14643   4200A848
              -16               1               3              HE  0.16423  0.16423  0.16423  0.16423   4400C801
              -17               1               1              HE  0.17709  0.17709  0.17709  0.17709   44004881
              -18               1               1              HE  0.17685  0.17685  0.17685  0.17685   44004901
              -18               1               2              HE  0.20445  0.20445  0.20445  0.20445   44008901
              -19               1               1              HE  0.22233  0.22233  0.22233  0.22233   44004981
              -19               1               2              HE  0.19483  0.19483  0.19483  0.19483   44008981
              -20               1               1              HE  0.20983  0.20983  0.20983  0.20983   44004A01
              -20               1               2              HE  0.22285  0.22285  0.22285  0.22285   44008A01
              -21               1               1              HE  0.23502  0.23502  0.23502  0.23502   44004A81
              -21               1               2              HE  0.23142  0.23142  0.23142  0.23142   44008A81
              -22               1               1              HE  0.25368  0.25368  0.25368  0.25368   44004B01
              -22               1               2              HE  0.25179  0.25179  0.25179  0.25179   44008B01
              -23               1               1              HE  0.22412  0.22412  0.22412  0.22412   44004B81
              -23               1               2              HE  0.22361  0.22361  0.22361  0.22361   44008B81
              -24               1               1              HE  0.26668  0.26668  0.26668  0.26668   44004C01
              -24               1               2              HE  0.25117  0.25117  0.25117  0.25117   44008C01
              -25               1               1              HE  0.20049  0.20049  0.20049  0.20049   44004C81
              -25               1               2              HE  0.19805  0.19805  0.19805  0.19805   44008C81
              -26               1               1              HE  0.22536  0.22536  0.22536  0.22536   44004D01
              -26               1               2              HE  0.22615  0.22615  0.22615  0.22615   44008D01
              -27               1               1              HE  0.19659  0.19659  0.19659  0.19659   44004D81
              -27               1               2              HE  0.18632  0.18632  0.18632  0.18632   44008D81
              -27               1               3              HE  0.21699  0.21699  0.21699  0.21699   4400CD81
              -28               1               1              HE  0.23573  0.23573  0.23573  0.23573   44004E01
              -28               1               2              HE  0.21671  0.21671  0.21671  0.21671   44008E01
              -28               1               3              HE  0.24278  0.24278  0.24278  0.24278   4400CE01
