#             eta             phi             dep             det     cap0     cap1     cap2     cap3      DetId
              -12              11               1              HB  0.17591  0.17591  0.17591  0.17591   4200460B
              -13              11               1              HB  0.18588  0.18588  0.18588  0.18588   4200468B
              -14              11               1              HB  0.16112  0.16112  0.16112  0.16112   4200470B
              -15              11               1              HB  0.13883  0.13883  0.13883  0.13883   4200478B
              -15              11               2              HB  0.12192  0.12192  0.12192  0.12192   4200878B
              -16              11               1              HB  0.16398  0.16398  0.16398  0.16398   4200480B
              -16              11               2              HB  0.12892  0.12892  0.12892  0.12892   4200880B
               -1              12               1              HB  0.22018  0.22018  0.22018  0.22018   4200408C
               -2              12               1              HB  0.21287  0.21287  0.21287  0.21287   4200410C
               -3              12               1              HB  0.21575  0.21575  0.21575  0.21575   4200418C
               -4              12               1              HB  0.20184  0.20184  0.20184  0.20184   4200420C
               -5              12               1              HB  0.19218  0.19218  0.19218  0.19218   4200428C
               -6              12               1              HB  0.18522  0.18522  0.18522  0.18522   4200430C
               -7              12               1              HB  0.20072  0.20072  0.20072  0.20072   4200438C
               -8              12               1              HB  0.19699  0.19699  0.19699  0.19699   4200440C
               -9              12               1              HB  0.18545  0.18545  0.18545  0.18545   4200448C
              -10              12               1              HB  0.17627  0.17627  0.17627  0.17627   4200450C
              -11              12               1              HB  0.17554  0.17554  0.17554  0.17554   4200458C
              -12              12               1              HB  0.17566  0.17566  0.17566  0.17566   4200460C
              -13              12               1              HB  0.16502  0.16502  0.16502  0.16502   4200468C
              -14              12               1              HB  0.15567  0.15567  0.15567  0.15567   4200470C
              -15              12               1              HB  0.15373  0.15373  0.15373  0.15373   4200478C
              -15              12               2              HB  0.13881  0.13881  0.13881  0.13881   4200878C
              -16              12               1              HB  0.12767  0.12767  0.12767  0.12767   4200480C
              -16              12               2              HB  0.13785  0.13785  0.13785  0.13785   4200880C
               -1              13               1              HB  0.23590  0.23590  0.23590  0.23590   4200408D
               -2              13               1              HB  0.22269  0.22269  0.22269  0.22269   4200410D
               -3              13               1              HB  0.20901  0.20901  0.20901  0.20901   4200418D
               -4              13               1              HB  0.20337  0.20337  0.20337  0.20337   4200420D
               -5              13               1              HB  0.21417  0.21417  0.21417  0.21417   4200428D
               -6              13               1              HB  0.21383  0.21383  0.21383  0.21383   4200430D
               -7              13               1              HB  0.19829  0.19829  0.19829  0.19829   4200438D
               -8              13               1              HB  0.19103  0.19103  0.19103  0.19103   4200440D
               -9              13               1              HB  0.17521  0.17521  0.17521  0.17521   4200448D
              -10              13               1              HB  0.20316  0.20316  0.20316  0.20316   4200450D
              -11              13               1              HB  0.19105  0.19105  0.19105  0.19105   4200458D
              -12              13               1              HB  0.19197  0.19197  0.19197  0.19197   4200460D
              -13              13               1              HB  0.20113  0.20113  0.20113  0.20113   4200468D
              -14              13               1              HB  0.16965  0.16965  0.16965  0.16965   4200470D
              -15              13               1              HB  0.15461  0.15461  0.15461  0.15461   4200478D
              -15              13               2              HB  0.13497  0.13497  0.13497  0.13497   4200878D
              -16              13               1              HB  0.13553  0.13553  0.13553  0.13553   4200480D
              -16              13               2              HB  0.12436  0.12436  0.12436  0.12436   4200880D
               -1              14               1              HB  0.22975  0.22975  0.22975  0.22975   4200408E
               -2              14               1              HB  0.21032  0.21032  0.21032  0.21032   4200410E
               -3              14               1              HB  0.21353  0.21353  0.21353  0.21353   4200418E
               -4              14               1              HB  0.20016  0.20016  0.20016  0.20016   4200420E
               -5              14               1              HB  0.19367  0.19367  0.19367  0.19367   4200428E
               -6              14               1              HB  0.18872  0.18872  0.18872  0.18872   4200430E
               -7              14               1              HB  0.20588  0.20588  0.20588  0.20588   4200438E
               -8              14               1              HB  0.18126  0.18126  0.18126  0.18126   4200440E
               -9              14               1              HB  0.18736  0.18736  0.18736  0.18736   4200448E
              -10              14               1              HB  0.16932  0.16932  0.16932  0.16932   4200450E
              -11              14               1              HB  0.16846  0.16846  0.16846  0.16846   4200458E
              -12              14               1              HB  0.16988  0.16988  0.16988  0.16988   4200460E
              -13              14               1              HB  0.16741  0.16741  0.16741  0.16741   4200468E
              -14              14               1              HB  0.16727  0.16727  0.16727  0.16727   4200470E
              -15              14               1              HB  0.14483  0.14483  0.14483  0.14483   4200478E
              -15              14               2              HB  0.10420  0.10420  0.10420  0.10420   4200878E
